,Global Horizontal Irradiance [W/m2]
83.16666666666667,402.7777777777782
83.18333333333334,404.4444444444448
83.2,406.11111111111137
83.21666666666667,407.77777777777794
83.23333333333333,409.4444444444445
83.25,411.1111111111111
83.26666666666667,412.77777777777766
83.28333333333333,414.44444444444423
83.3,416.1111111111108
83.31666666666666,417.7777777777774
83.33333333333333,419.44444444444395
83.35,421.1111111111105
83.36666666666666,422.7777777777771
83.38333333333334,424.44444444444366
83.4,426.11111111111165
83.41666666666667,427.7777777777782
83.43333333333334,429.4444444444448
83.45,431.11111111111137
83.46666666666667,432.77777777777794
83.48333333333333,434.4444444444445
83.5,436.1111111111111
83.51666666666667,437.77777777777766
83.53333333333333,439.44444444444423
83.55,441.1111111111108
83.56666666666666,442.7777777777774
83.58333333333333,444.44444444444395
83.6,446.1111111111105
83.61666666666666,447.7777777777771
83.63333333333334,449.44444444444366
83.65,451.11111111111165
83.66666666666667,452.7777777777782
83.68333333333334,454.4444444444448
83.7,456.11111111111137
83.71666666666667,457.77777777777794
83.73333333333333,459.4444444444445
83.75,461.1111111111111
83.76666666666667,462.77777777777766
83.78333333333333,464.44444444444423
83.8,466.1111111111108
83.81666666666666,467.7777777777774
83.83333333333333,469.44444444444395
83.85,471.1111111111105
83.86666666666666,472.7777777777771
83.88333333333334,474.44444444444366
83.9,476.11111111111165
